seed_label,seed_title,requested_title,final_title,url,status,paragraph_count
Organization,Bell Labs,5ESS Switch,5ESS Switching System,https://en.wikipedia.org/wiki/5ESS_Switching_System,ok,32
Organization,Foreign Office,10 Downing Street,10 Downing Street,https://en.wikipedia.org/wiki/10_Downing_Street,ok,91
Organization,Foreign Office,11 Downing Street,11 Downing Street,https://en.wikipedia.org/wiki/11_Downing_Street,ok,11
Organization,Foreign Office,12 Downing Street,12 Downing Street,https://en.wikipedia.org/wiki/12_Downing_Street,ok,6
Organization,Foreign Office,1802 United Kingdom general election,1802 United Kingdom general election,https://en.wikipedia.org/wiki/1802_United_Kingdom_general_election,ok,15
Organization,Foreign Office,1806 United Kingdom general election,1806 United Kingdom general election,https://en.wikipedia.org/wiki/1806_United_Kingdom_general_election,ok,16
Location,London,.london,.london,https://en.wikipedia.org/wiki/.london,ok,1
Location,London,020,020,https://en.wikipedia.org/wiki/020,ok,18
Location,London,122 Leadenhall Street,122 Leadenhall Street,https://en.wikipedia.org/wiki/122_Leadenhall_Street,ok,17
Location,London,15 February 2003 anti-war protests,15 February 2003 Iraq War protests,https://en.wikipedia.org/wiki/15_February_2003_Iraq_War_protests,ok,114
Location,Manchester,100 King Street,100 King Street,https://en.wikipedia.org/wiki/100_King_Street,ok,8
Location,Manchester,107 Piccadilly,107 Piccadilly,https://en.wikipedia.org/wiki/107_Piccadilly,ok,2
Location,Manchester,111 Piccadilly,111 Piccadilly,https://en.wikipedia.org/wiki/111_Piccadilly,ok,4
Location,Manchester,17 New Wakefield Street,Bridgewater Heights,https://en.wikipedia.org/wiki/Bridgewater_Heights,ok,7
Location,Manchester,"1830 warehouse, Liverpool Road railway station","1830 warehouse, Liverpool Road railway station","https://en.wikipedia.org/wiki/1830_warehouse,_Liverpool_Road_railway_station",ok,7
Location,"Princeton, New Jersey",119th United States Congress,119th United States Congress,https://en.wikipedia.org/wiki/119th_United_States_Congress,ok,59
Location,"Princeton, New Jersey",1880 United States census,1880 United States census,https://en.wikipedia.org/wiki/1880_United_States_census,ok,14
Location,"Princeton, New Jersey",1964 Summer Olympics,1964 Summer Olympics,https://en.wikipedia.org/wiki/1964_Summer_Olympics,ok,56
Location,"Princeton, New Jersey",1968 Summer Olympics,1968 Summer Olympics,https://en.wikipedia.org/wiki/1968_Summer_Olympics,ok,49
Location,"Princeton, New Jersey",1968 United States presidential election,1968 United States presidential election,https://en.wikipedia.org/wiki/1968_United_States_presidential_election,ok,112
Location,Maida Vale,1939 Register,National Registration Act 1939,https://en.wikipedia.org/wiki/National_Registration_Act_1939,ok,33
Location,Maida Vale,2010 Westminster City Council election,2010 Westminster City Council election,https://en.wikipedia.org/wiki/2010_Westminster_City_Council_election,ok,4
Location,Maida Vale,2011 United Kingdom census,2011 United Kingdom census,https://en.wikipedia.org/wiki/2011_United_Kingdom_census,ok,52
Location,Maida Vale,2014 Westminster City Council election,2014 Westminster City Council election,https://en.wikipedia.org/wiki/2014_Westminster_City_Council_election,ok,4
Location,Wilmslow,2001 United Kingdom census,2001 United Kingdom census,https://en.wikipedia.org/wiki/2001_United_Kingdom_census,ok,14
Location,Wilmslow,2021 United Kingdom census,2021–2022 United Kingdom censuses,https://en.wikipedia.org/wiki/2021%E2%80%932022_United_Kingdom_censuses,ok,55
Location,Wilmslow,A34 road (England),A34 road,https://en.wikipedia.org/wiki/A34_road,ok,12
Location,Wilmslow,A538 road,A538 road,https://en.wikipedia.org/wiki/A538_road,ok,7
Location,Wilmslow,A555 road,A555 road,https://en.wikipedia.org/wiki/A555_road,ok,7
Location,Bletchley,A1 road (Great Britain),A1 road (Great Britain),https://en.wikipedia.org/wiki/A1_road_(Great_Britain),ok,47
Location,Bletchley,A4146 road,A4146 road,https://en.wikipedia.org/wiki/A4146_road,ok,4
